,err_up,err_low,n,m
0,0.0018231540565177757,0.37892095357590966,10,10
1,-0.0018198362147406734,0.31850961538461536,10,10
2,0.0,0.3562130177514793,10,10
3,0.0,0.3525872442839952,10,10
4,0.0,0.34980494148244473,10,10
5,0.0,0.3378212974296206,10,10
6,0.0,0.33620689655172414,10,10
7,0.0,0.3289630512514899,10,10
8,0.0,0.325,10,10
9,0.0,0.3244613434727503,10,10
10,0.11782708492731446,0.5863192182410424,10,15
11,-0.1054072553045859,0.20460829493087557,10,15
12,0.0,0.4159919028340081,10,15
13,0.0,0.4036144578313253,10,15
14,0.0,0.39481268011527376,10,15
15,0.0,0.3840725806451613,10,15
16,0.0,0.37863070539419086,10,15
17,0.0,0.3775023832221163,10,15
18,0.0,0.37690839694656486,10,15
19,0.0,0.3497164461247637,10,15
20,0.006658595641646489,0.3963056255247691,10,20
21,-0.00661455201443175,0.32371794871794873,10,20
22,0.0,0.38177533385703066,10,20
23,0.0,0.3763955342902711,10,20
24,0.0,0.35760517799352753,10,20
25,0.0,0.35027799841143764,10,20
26,0.0,0.3492857142857143,10,20
27,0.0,0.3413269384492406,10,20
28,0.0,0.340080971659919,10,20
29,0.0,0.3328125,10,20
30,-0.04460431654676259,0.2695984703632887,10,5
31,0.046686746987951805,0.2545126353790614,10,5
32,0.0,0.25539568345323743,10,5
33,0.0,0.23809523809523808,10,5
34,0.0,0.2336283185840708,10,5
35,0.0,0.23356401384083045,10,5
36,0.0,0.21231766612641814,10,5
37,0.0,0.20930232558139536,10,5
38,0.0,0.20246478873239437,10,5
39,0.0,0.20221169036334913,10,5
40,-0.028067885117493474,0.15426356589147286,20,10
41,0.0335795836131632,0.2032838154808444,20,10
42,0.0,0.1803405572755418,20,10
43,0.0,0.17751479289940827,20,10
44,0.0,0.1761827079934747,20,10
45,0.006234413965087282,0.1772428884026258,20,10
46,0.005076142131979695,0.17507418397626112,20,10
47,0.0031426775612822125,0.17094644167278064,20,10
48,0.0,0.16334072431633406,20,10
49,0.00392156862745098,0.17073170731707318,20,10
50,-0.03770661157024793,0.2216393442622951,20,15
51,0.04245029554003224,0.28391793514228986,20,15
52,0.0,0.24836173001310616,20,15
53,0.0016685205784204673,0.23950447350309703,20,15
54,0.0005515719801434088,0.2373806275579809,20,15
55,0.0,0.23599208965062624,20,15
56,0.0010204081632653062,0.23629489603024575,20,15
57,0.0,0.23435504469987228,20,15
58,0.0043907793633369925,0.23899796885578875,20,15
59,0.0,0.23174603174603176,20,15
60,-0.03127753303964758,0.2630672027570362,20,20
61,0.03228740336516599,0.31062355658198615,20,20
62,0.0,0.2901307966706302,20,20
63,0.0,0.2849887133182844,20,20
64,0.0,0.28486646884273,20,20
65,0.0,0.2816820276497696,20,20
66,0.0008729812309035355,0.2810055865921788,20,20
67,0.0026292725679228747,0.28179271708683473,20,20
68,0.0,0.2759226713532513,20,20
69,0.0016992353440951572,0.2739059967585089,20,20
70,0.04278523489932886,0.13515981735159818,20,5
71,-0.04022526146419952,0.02491408934707904,20,5
72,0.0,0.08695652173913043,20,5
73,0.0015117157974300832,0.08251633986928104,20,5
74,0.0008873114463176575,0.07736389684813753,20,5
75,0.0,0.07636655948553055,20,5
76,0.0,0.07243460764587525,20,5
77,0.0,0.07050092764378478,20,5
78,0.0,0.06990291262135923,20,5
79,0.0,0.06986190089358245,20,5
80,-0.00874485596707819,0.11969785008715862,30,10
81,0.022976501305483028,0.13763066202090593,30,10
82,0.011439466158245948,0.14086021505376345,30,10
83,0.006740491092922484,0.1260096930533118,30,10
84,0.01953727506426735,0.13508872352604465,30,10
85,0.004448838358872961,0.11771177117711772,30,10
86,0.010768477728830151,0.1284153005464481,30,10
87,0.009659379766141332,0.12393887945670629,30,10
88,0.015822784810126583,0.13227513227513227,30,10
89,0.012054507337526206,0.12792056074766356,30,10
90,0.009239815203695927,0.20210105052526264,30,15
